序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓后持仓数,平仓后持仓数,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
1,WAXPUSDT,161.1,473.2,297.6,1.590,"$847,568","$1,512,366",0.560,0.0000,2026-03-20 00:00,0.007038,2026-03-20,2026-03-20 01:00:00,1,0,2026-03-20 01:00:00,1.74,0.007120,1.17%,2026-03-20,2026-03-20 03:00:00,0.007317,2.0,-2.77%,1.9000,,1.9526,3.8526,0.0000,,,-262.85,-266.70,-266.70,-266.70,9733.30,是,中（推断20%）,中（保持20%）,early_stop_loss,数据缺失,5.0,1900.00,否,,,0.007255,1.90%,1.63%,0.007901,10.97%,1.63%,0.007594,,1.63%,6.94%,1.63%,7.71%,,,1.7435,2.6298,0.6630,,,,
2,ZETAUSDT,65.8,41.6,96.2,0.432,"$891,659","$1,144,429",0.779,0.0000,2026-03-20 01:00,0.054700,2026-03-20,2026-03-20 02:00:00,1,0,2026-03-20 02:00:00,1.77,0.053900,-1.46%,2026-03-20,2026-03-20 04:00:00,0.056460,2.0,-4.75%,1.8493,,1.9372,3.7865,0.0000,,,-439.17,-442.96,-442.96,-442.96,9290.34,是,中（推断20%）,中（保持20%）,early_stop_loss,数据缺失,5.0,1849.33,否,,,0.056780,5.34%,1.24%,0.059110,9.67%,1.24%,0.055040,,1.24%,3.60%,1.24%,7.44%,,,1.7732,1.9525,0.9082,,,,
3,PHAUSDT,38.1,13.6,15.8,0.861,"$2,588,824","$4,629,884",0.559,0.0000,2026-03-20 02:00,0.041930,2026-03-20,2026-03-20 03:00:00,1,0,2026-03-20 03:00:00,0.57,0.041680,-0.60%,2026-03-20,2026-03-20 16:25:00,0.037512,13.42,10.00%,1.7652,,1.5886,3.3538,0.0000,,,882.58,879.23,879.23,879.23,10169.57,否,中（改成20%）,弱（12%）,take_profit,数据缺失,5.0,1765.16,否,,,0.041760,0.19%,2.86%,0.039700,-4.75%,10.22%,0.039050,,10.46%,12.86%,10.46%,4.56%,,10.0%,0.5684,0.5736,0.9909,,,,
4,GTCUSDT,39.8,152.5,438.4,0.348,"$1,183,035","$1,437,662",0.823,0.0000,2026-03-20 03:00,0.090000,2026-03-20,2026-03-20 04:00:00,1,0,2026-03-20 04:00:00,2.98,0.088000,-2.22%,2026-03-21,2026-03-21 23:50:00,0.078320,43.83,11.00%,1.9322,,1.7197,3.6519,0.0000,,,1062.72,1059.07,1059.07,1059.07,11228.63,是,中（改成20%）,弱（12%）,take_profit,数据缺失,5.0,1932.22,否,,,0.084000,-4.55%,6.82%,0.085000,-3.41%,6.82%,0.082000,-6.82%,6.82%,11.36%,11.36%,10.23%,,11.0%,2.9825,3.4267,0.8704,,,,
5,PLAYUSDT,45.4,92.9,111.6,0.832,"$1,948,588","$2,086,941",0.934,0.0000,2026-03-20 09:00,0.037550,2026-03-20,2026-03-20 10:00:00,2,1,2026-03-20 10:00:00,0.97,0.036760,-2.10%,2026-03-20,2026-03-20 10:30:00,0.031981,0.5,13.00%,1.9322,,1.6810,3.6132,0.0000,,,1255.94,1252.33,1252.33,1252.33,12480.96,否,强（2h内默认）,强（保持30%）,take_profit,数据缺失,5.0,1932.22,否,,,0.031170,-15.21%,19.56%,0.036620,-0.38%,19.56%,0.037840,,19.56%,19.56%,19.56%,4.68%,,,0.9720,1.0259,0.9475,,,,
6,WAXPUSDT,226.4,1.5,1.5,1.027,"$7,107,181","$7,328,294",0.970,0.0000,2026-03-20 23:00,0.008028,2026-03-21,2026-03-21 00:00:00,1,3,2026-03-21 00:00:00,0.98,0.007935,-1.16%,2026-03-22,2026-03-22 00:50:00,0.007062,24.83,11.00%,2.3714,,2.1105,4.4819,0.0000,,,1304.26,1299.78,1299.78,1299.78,13780.74,是,中（改成20%）,弱（12%）,take_profit,-2.1023%,5.0,2371.38,否,,,0.007641,-3.71%,6.58%,0.007454,-6.06%,7.59%,0.007225,-8.95%,10.51%,16.50%,11.59%,2.26%,,11.0%,0.9767,0.9829,0.9937,,,,
7,FLUIDUSDT,72.8,69.4,140.4,0.494,"$1,253,836","$1,369,197",0.916,0.0000,2026-03-21 00:00,2.331000,2026-03-21,2026-03-21 01:00:00,2,2,2026-03-21 01:00:00,1.70,2.342000,0.47%,2026-03-22,2026-03-22 11:45:00,2.107800,34.75,10.00%,2.3714,,2.1342,4.5056,0.0000,,,1185.69,1181.19,1181.19,1181.19,14961.93,否,中（改成20%）,弱（12%）,take_profit,-0.1084%,5.0,2371.38,否,,,2.337000,-0.21%,2.01%,2.357000,0.64%,2.01%,2.260000,-3.50%,4.91%,23.31%,11.53%,0.17%,,10.0%,1.7049,1.9044,0.8952,,,,
8,RDNTUSDT,126.0,73.3,60.1,1.221,"$867,545","$2,068,958",0.419,0.0000,2026-03-21 07:00,0.005134,2026-03-21,2026-03-21 08:00:00,3,2,2026-03-21 08:00:00,1.23,0.005183,0.95%,2026-03-21,2026-03-21 15:25:00,0.005857,7.42,-13.00%,2.3714,,2.6797,5.0510,0.0000,,,-1541.40,-1546.45,-1546.45,-1546.45,13415.48,是,中（改成20%）,中（保持20%）,stop_loss,-1.8020%,5.0,2371.38,否,,,0.005357,3.36%,6.29%,0.006454,24.52%,6.29%,0.005209,,6.29%,6.29%,6.29%,5.15%,,,1.2267,1.9002,0.6456,,,,
9,ORDERUSDT,122.8,17.2,13.7,1.250,"$969,915","$1,274,515",0.761,0.0000,2026-03-21 10:00,0.054800,2026-03-21,2026-03-21 11:00:00,3,1,2026-03-21 11:00:00,2.18,0.055080,0.51%,2026-03-22,2026-03-22 06:20:00,0.062240,19.33,-13.00%,2.0776,,2.3476,4.4252,0.0000,,,-1350.41,-1354.84,-1354.84,-1354.84,12060.64,否,中（改成20%）,弱（12%）,stop_loss,0.0000%,5.0,2077.56,否,,,0.055220,0.25%,0.64%,0.055890,1.47%,0.64%,0.059790,,2.89%,2.89%,2.89%,1.33%,,,2.1827,2.0760,1.0514,,,,
10,LAUSDT,32.5,10.1,8.3,1.225,"$4,557,632","$4,416,624",1.032,0.0000,2026-03-21 11:00,0.233200,2026-03-21,2026-03-21 12:00:00,4,3,2026-03-21 12:00:00,1.19,0.227200,-2.57%,2026-03-24,2026-03-24 04:10:00,0.202208,64.17,11.00%,2.0776,,1.8490,3.9266,0.0000,,,1142.66,1138.73,1138.73,1138.73,13199.37,是,中（改成20%）,弱（12%）,take_profit,-0.7130%,5.0,2077.56,否,,,0.231600,1.94%,5.24%,0.220500,-2.95%,5.24%,0.215200,-5.28%,7.35%,11.75%,11.36%,2.77%,,11.0%,1.1944,1.0375,1.1512,,,,
